zi	stroke_count	stroke_count_decomposed	mandarin_pinyin	cantonese_pinyin	english	radical	radical_stroke_count	radical_pinyin	radical_english	variant	fc_code	cj_code	leaf_component	zis_with_this_component
一	1画	一 + 0	yī	jat1	one; a, an; alone 	一	1	yī	one		1000.0	M		本,有,下,页,三,到,会,可,来,所,元,后,性,未,天,给,同,成,再,每,并,列,至,但,友,型,生,頁,篇,真,室,开,证,量,今,爱,何,送,百,城,海,正,打,带,星,光,项,线,夏,知,房,院,副,体,感,啊,給,西,钱,玩,令,拿,短,序,死,屋,酒,评,吃,若,歌,阿,形,厅,合,联,顶,場,布,平,远,含,完,奇,町,随,左,右,具,除,查,师,关,寄,词,例,病,富,味,诚
丁	2画	一 + 1	dīng, zhēng	ding1, zaang1, zang1	male adult; robust, vigorous; 4th heavenly stem 	一	1	yī	one		1020.0	MN	一/亅	可,成,何,城,打,啊,序,歌,阿,厅,顶,奇,町,寄,诚,河,哥,停,预,野,宁,訂,盛,予,誠,灯,订,柯,亭,骑,舒,預,荷,頂,寧,椅,豫,盯,婷,崎,呵,騎,倚,琦,庁,钉,柠,汀,叮,釘,晟,綺,拧,墅,抒,珂,埼,貯,婀,苛,妤,绮,紓,畸,旖,狞,猗,漪,嘢,诃,嗬,纾,錡,蚵,舸,佇,訶,擰,鎶,檸,轲,痾,岢,酊,苧,坷,屙,軻,菏,锕,嵜,杼,葶,仃,渟,咛,铖,欹,筬
丂	2画	一 + 1	kǎo, qiǎo, yú		obstruction of breath (qi) as it seeks release; variant of other characters 	一	1	yī	one			MVS		号,號,考,聘,粤,跨,巧,污,烤,鄂,亏,兮,粵,垮,夸,拷,鳄,饕,顎,骋,誇,鍔,挎,窍,胯,袴,愕,朽,娉,铐,瓠,萼,鶚,銬,匏,颚,锷,雩,騁,鰐,攷,樗,谔,鹗,諤,洘,刳,綔,肟,绔,腭,諡,陓,圬,鴞,栲,俜,荂,扝,甹,咢,桍,鄠,槬,姱,湂,銙,晇,枍,枵,盻,梬,崿,鸮,耉,侤,摴,杇,洿,骻,侉,嫮,汅,飸,釫,咵,蕚,卾,偔,覨,疞,堮,齶,迃,謣,嶀,絝,呺,恗,鴮
七	2画	一 + 1	qī	cat1	seven 	一	1	yī	one		4071.0	JU		切,托,宅,砌,託,彻,皂,窃,叱,吒,沏,姹,亳,詫,诧,咤,侘,乇,苆,唣,仛,侂,巼,讬,虴,秺,奼,兺,挓,唜,矺,籷,旕,嗭,哛,袃,厇,汑,垞,杔,秅,馲,魠,廤,梍,唟,烢,厑,莻,夞,喸,蒊,饦,圫,飥,灹,㡯
丄	2画	一 + 1	shàng, shǎng	soeng5, soeng6	above 	一	1	yī	one			LM		円,猜,倩,菁,睛,靑,淸,蜻,蒨,靕,篟,棈
丅	2画	一 + 1	xià	ti1	under, underneath, below; down; inferior; bring down; used to transliterate the Latin letter 'T' 	一	1	yī	one			XML		
丆	2画	一 + 1			kwukyel 	一	1	yī	one			XMH	一/丿	页,頁,项,顶,頭,順,項,類,顔,预,頃,额,額,题,须,顺,领,題,频,顿,颗,颇,預,願,硕,頂,須,颜,顾,領,顆,倾,烦,頓,頻,顯,颖,颈,頗,顏,顧,瀬,碩,傾,穎,颂,颐,煩,嶺,顷,巅,颠,頸,噸,颤,頬,籲,頒,颁,頌,頼,顎,顕,顽,颊,擷,颍,颅,鬚,頑,撷,癫,巔,顛,蘋,癲,颌,灏,顫,頰,頤,濒,頡,颦,瀕,颓,頷,纈,頹,颧,颉,灝,嚣,颢,囂,纐,頚,顱,颞,颚
万	3画	一 + 2	wàn, mò	maan6, mak6	ten thousand; innumerable 	一	1	yī	one	萬	1022.7	MS		迈,厉,励,栃,砺,趸,蛎,粝,劢,疠,杤,虿,澷,㬅
丈	3画	一 + 2	zhàng	zoeng6	unit of length equal 3.3 meters; gentleman, man, husband 	一	1	yī	one		5000.0	JK		使,仗,杖,吏,扙,粀
三	3画	一 + 2	sān, sàn	saam1, saam3	three 	一	1	yī	one		1010.1	MMM	二/一	兰,栏,烂,拦,疆,闫,僵,叁,薑,仨,缰,彊,閆,殭,韁,橿,弎,礓,叄,疅,畺,繮,壃,麠
上	3画	一 + 2	shàng	soeng5, soeng6	top; superior, highest; go up, send up 	一	1	yī	one		2110.0	YM		让,卡,淑,督,叔,椒,峠,寂,戚,咔,忐,蹙,菽,槭,俶,掓,嘁,埱,裃,仩,婌,仧,佧,慼,垰,踧,磩,尗,蔋,鏚,茮,顣,惄,琡,敊,鮛,桛,鉲,慽,錖,挊,裻,諔,縬,摵,鞐,胩,漃,傶,圵,拤,墄,𠧗
